id,station,latitude,longitude
1,Sierra de Guadalupe (Madrid Metro),40.3821641,-3.6247187000000007
2,Atocha (Madrid Metro),40.4088513,-3.6924845
3,Portazgo (Madrid Metro),40.3926609,-3.6586792
4,Bilbao (Madrid Metro),40.4290543,-3.7021816
5,Antón Martín (Madrid Metro),40.41246760000001,-3.6993693
6,Chamberí (Madrid Metro),40.4323,-3.69772
7,Alvarado (Madrid Metro),40.4503359,-3.7033108
8,Estrecho (Madrid Metro),40.4542836,-3.7030217
9,Pinar de Chamartín (Madrid Metro),40.4801375,-3.6667999
10,Cuatro Caminos (Madrid Metro),40.44697160000001,-3.7039697
11,Villa de Vallecas (Madrid Metro),40.3795968,-3.621302
12,Iglesia (Madrid Metro),40.4349206,-3.6989767
13,Alto del Arenal (Madrid Metro),40.3897726,-3.6452194
14,Puente de Vallecas (Madrid Metro),40.39819620000001,-3.6690554
15,La Gavia (Madrid Metro),40.3692237,-3.612582100000001
16,Tetuán (Madrid Metro),40.46055629999999,-3.6982512
17,Tirso de Molina (Madrid Metro),40.4123454,-3.70466
18,Menéndez Pelayo (Madrid Metro),40.404451,-3.6809847
19,Miguel Hernández (Madrid Metro),40.3873756,-3.6397031
20,Valdecarros (Madrid Metro),40.3600682,-3.5931643
21,Tribunal (Madrid Metro),40.426187,-3.7011027
22,Plaza de Castilla (Madrid Metro),40.4668983,-3.6891989
23,Buenos Aires (Madrid Metro),40.3915617,-3.6539084
24,Sol (Madrid Metro),40.4167635,-3.7036371
25,Valdeacederas (Madrid Metro),40.4644218,-3.6950594
26,Nueva Numancia (Madrid Metro),40.3955396,-3.6641393
27,Madrid Atocha railway station,40.406528,-3.689373
28,Bambú (Madrid Metro),40.476811700000006,-3.6763701
29,Congosto (Madrid Metro),40.3723846,-3.6188449
30,Ríos Rosas (Madrid Metro),40.4419664,-3.7012714
31,Las Suertes (Madrid Metro),40.3632247,-3.5995284
32,Gran Vía (Madrid Metro),40.4200103,-3.7018052
33,Madrid Chamartín railway station,40.472101,-3.6826857
34,Las Rosas (Madrid Metro),40.4237466,-3.6033063
35,La Almudena (Madrid Metro),40.4236175,-3.639141200000001
36,Ventas (Madrid Metro),40.43088510000001,-3.6636615
37,Banco de España (Madrid Metro),40.4190564,-3.6949689
38,Goya (Madrid Metro),40.4250659,-3.6743144
39,Ópera (Madrid Metro),40.4181665,-3.7094163
41,Santo Domingo (Madrid Metro),40.4213164,-3.7079598
42,Retiro (Madrid Metro),40.4203029,-3.6862484
43,Manuel Becerra (Madrid Metro),40.4279069,-3.6692552
44,Avenida de Guadalajara (Madrid Metro),40.4223943,-3.6120645
45,Alsacia (Madrid Metro),40.418288200000006,-3.6235082
46,San Bernardo (Madrid Metro),40.4297496,-3.7057433
47,Canal (Madrid Metro),40.4384107,-3.7043304
49,La Elipa (Madrid Metro),40.4266173,-3.6505221
50,Príncipe de Vergara (Madrid Metro),40.4229427,-3.6801218
51,Plaza de España-Noviciado (Madrid Metro),40.4248706,-3.7074324
52,Quevedo (Madrid Metro),40.4332213,-3.7043352
53,Sevilla (Madrid Metro),40.418054,-3.6992503
54,Villaverde Alto (Madrid Metro),40.34163,-3.712478
55,Callao (Madrid Metro),40.4201343,-3.705771700000001
56,El Casar (Madrid Metro),40.3184662,-3.7098354
57,Lavapiés (Madrid Metro),40.4085124,-3.700908
58,San Fermín-Orcasur (Madrid Metro),40.3699938,-3.6941721
59,Legazpi (Madrid Metro),40.3911507,-3.6951198
60,Palos de la Frontera (Madrid Metro),40.4030775,-3.6941743
61,Delicias (Madrid Metro),40.3999161,-3.6941609
62,Argüelles (Madrid Metro),40.4306636,-3.7159686
63,Almendrales (Madrid Metro),40.38409779999999,-3.6978863
65,Ciudad de los Ángeles (Madrid Metro),40.3595825,-3.6936297
66,Hospital 12 de Octubre (Madrid Metro),40.3750289,-3.6958492
67,San Cristóbal (Madrid Metro),40.3413659,-3.6927862
68,Acacias-Embajadores (Madrid Metro),40.4050625,-3.7027244
69,Villaverde Bajo-Cruce (Madrid Metro),40.3508945,-3.6926458
70,Ventura Rodríguez (Madrid Metro),40.4270848,-3.7134076
72,Moncloa (Madrid Metro),40.4353828,-3.7191483
73,Prosperidad (Madrid Metro),40.4441899,-3.6748168
76,Colón (Madrid Metro),40.4254188,-3.6910038
77,Alonso Martínez (Madrid Metro),40.4277226,-3.6959433
79,Canillas (Madrid Metro),40.4638092,-3.6355935
80,Parque de Santa María (Madrid Metro),40.4771155,-3.6452396
81,Velázquez (Madrid Metro),40.4250344,-3.6829131
82,Lista (Madrid Metro),40.4291685,-3.6754098
83,Avenida de América (Madrid Metro),40.438035,-3.6766893
84,Alfonso XIII (Madrid Metro),40.4482482,-3.6679119
86,San Lorenzo (Madrid Metro),40.4744713,-3.6395754
88,Esperanza (Madrid Metro),40.4594456,-3.6458138
89,Mar de Cristal (Madrid Metro),40.46942410000001,-3.6383243
90,Arturo Soria (Madrid Metro),40.45582879999999,-3.6561813
91,Manoteras (Madrid Metro),40.4768716,-3.6628981
92,Hortaleza (Madrid Metro),40.4753716,-3.6525732
93,Serrano (Madrid Metro),40.4254357,-3.6866306
94,Diego de León (Madrid Metro),40.43467570000001,-3.6749579
95,Avenida de la Paz (Madrid Metro),40.453539,-3.661183
97,Campamento (Madrid Metro),40.3948064,-3.7681294
99,Alameda de Osuna (Madrid Metro),40.457792,-3.5875230000000005
100,Aluche (Madrid Metro),40.3856286,-3.7608513
103,La Latina (Madrid Metro),40.411279,-3.7081611
104,El Capricho (Madrid Metro),40.4534705,-3.5940072999999995
105,Núñez de Balboa (Madrid Metro),40.4327842,-3.682578700000001
106,Eugenia de Montijo (Madrid Metro),40.3843858,-3.7512112
107,Marqués de Vadillo (Madrid Metro),40.3973571,-3.7159575
108,Torre Arias (Madrid Metro),40.4437467,-3.6169981
109,Empalme (Madrid Metro),40.39057260000001,-3.7653479
110,Oporto (Madrid Metro),40.3884681,-3.7313214
111,Suanzes (Madrid Metro),40.4407959,-3.6268962
112,Rubén Darío (Madrid Metro),40.4331574,-3.6895385
113,Urgel (Madrid Metro),40.3929839,-3.7244253
114,El Carmen (Madrid Metro),40.43189279999999,-3.6575758
115,Pueblo Nuevo (Madrid Metro),40.4356962,-3.6428288
116,Puerta de Toledo (Madrid Metro),40.4068115,-3.7108159
117,Pirámides (Madrid Metro),40.4026015,-3.7113817
119,Carabanchel (Madrid Metro),40.3878228,-3.7448761
120,Casa de Campo (Madrid Metro),40.4032414,-3.7610123
122,Chueca (Madrid Metro),40.4226162,-3.6976649
123,Ciudad Lineal (Madrid Metro),40.4380469,-3.638159
124,Quintana (Madrid Metro),40.4335811,-3.647359
125,Vista Alegre (Madrid Metro),40.3888466,-3.7398204
127,Canillejas (Madrid Metro),40.449424,-3.6081585
129,Opañel (Madrid Metro),40.3869075,-3.7231287
130,Puerta del Ángel (Madrid Metro),40.41389960000001,-3.7272354
131,Conde de Casal (Madrid Metro),40.4069722,-3.6704034
132,República Argentina (Madrid Metro),40.4437935,-3.6840578
133,Plaza Elíptica (Madrid Metro),40.38449110000001,-3.7183263
135,Lucero (Madrid Metro),40.4047855,-3.7455976
136,Nuevos Ministerios (Madrid Metro),40.4466221,-3.6924595
139,Príncipe Pío (Madrid Metro),40.42106810000001,-3.7203687000000008
141,Méndez Álvaro (Madrid Metro),40.3956,-3.678226
143,Usera (Madrid Metro),40.3870975,-3.7068947
144,Carpetana (Madrid Metro),40.392704,-3.7409937000000006
145,Ciudad Universitaria (Madrid Metro),40.4435602,-3.7267881
147,Laguna (Madrid Metro),40.399176,-3.7442212
148,Sainz de Baranda (Madrid Metro),40.4150675,-3.6695171
149,Arganzuela-Planetario (Madrid Metro),40.3931948,-3.6886229
150,O'Donnell (Madrid Metro),40.42289270000001,-3.6685926
152,Metropolitano (Madrid Metro),40.446435,-3.7194254
153,Alto de Extremadura (Madrid Metro),40.4099246,-3.738931200000001
155,Guzmán el Bueno (Madrid Metro),40.446362,-3.7122904
156,Lacoma (Madrid Metro),40.4850161,-3.723046
157,Islas Filipinas (Madrid Metro),40.4390648,-3.7137345
158,Avenida de la Ilustración (Madrid Metro),40.4800991,-3.7184039
159,Barrio del Puerto (Madrid Metro),40.422495700000006,-3.5691925
160,García Noblejas (Madrid Metro),40.4284244,-3.633304
161,Peñagrande (Madrid Metro),40.47592589999999,-3.715823
162,La Rambla (Madrid Metro),40.4251478,-3.5479247000000003
164,Coslada Central (Madrid Metro),40.4237329,-3.5611867999999998
165,San Blas (Madrid Metro),40.427989,-3.6154635
166,Pitis (Madrid Metro),40.4951038,-3.7258413
167,Hospital del Henares (Madrid Metro),40.4176066,-3.5345322999999995
168,Valdezarza (Madrid Metro),40.4648258,-3.7159766
169,Henares (Madrid Metro),40.4177664,-3.5271783
170,Ascao (Madrid Metro),40.4302016,-3.6410544
171,Jarama (Madrid Metro),40.4229543,-3.5254977
173,Simancas (Madrid Metro),40.4279879,-3.625719600000001
175,San Fernando (Madrid Metro),40.4244134,-3.5354112
176,Cartagena (Madrid Metro),40.4393407,-3.6721511
177,Parque de las Avenidas (Madrid Metro),40.4394477,-3.662967
178,Las Musas (Madrid Metro),40.43298400000001,-3.6078807
179,Estadio Olímpico (Madrid Metro),40.4333937,-3.6001502
180,Francos Rodríguez (Madrid Metro),40.4564786,-3.7123852999999993
181,Alonso Cano (Madrid Metro),40.4383784,-3.6992483
182,Antonio Machado (Madrid Metro),40.4702206,-3.7176971
184,Gregorio Marañón (Madrid Metro),40.4382539,-3.6914888
185,Barrio de la Concepción (Madrid Metro),40.4390955,-3.6519981
186,Campo de las Naciones (Madrid Metro),40.4638952,-3.6162032
188,Aeropuerto T1-T2-T3 (Madrid Metro),40.468647,-3.5696521
190,Barajas (Madrid Metro),40.4758011,-3.5826118
194,Aeropuerto T4 station,40.49176129999999,-3.5935537
197,Pinar del Rey (Madrid Metro),40.4679975,-3.6486679
198,Colombia (Madrid Metro),40.4563406,-3.6768255
200,Concha Espina (Madrid Metro),40.4505065,-3.6776132000000006
201,Pío XII (Madrid Metro),40.4630043,-3.6757954
202,Mirasierra (Madrid Metro),40.4910935,-3.7163508
203,Puerta de Arganda (Madrid Metro),40.4013157,-3.5959767999999994
204,Paco de Lucía (Madrid Metro),40.4995522,-3.709039
205,Arganda del Rey (Madrid Metro),40.3036662,-3.447521
206,Estrella (Madrid Metro),40.4114722,-3.6617853
207,Pavones (Madrid Metro),40.4005126,-3.6351174
210,Vinateros (Madrid Metro),40.4102443,-3.6527335
211,Herrera Oria (Madrid Metro),40.4846443,-3.7075242
213,La Poveda (Madrid Metro),40.3190157,-3.4774474000000004
214,San Cipriano (Madrid Metro),40.4038141,-3.6023979
215,Cruz del Rayo (Madrid Metro),40.4442694,-3.6782139
216,Duque de Pastrana (Madrid Metro),40.4676242,-3.679168
217,Ibiza (Madrid Metro),40.4183629,-3.6779697
218,Rivas Futura (Madrid Metro),40.3416956,-3.525004
219,Barrio del Pilar (Madrid Metro),40.4768864,-3.7031628
220,Valdebernardo (Madrid Metro),40.40004620000001,-3.6215607
223,Vicálvaro (Madrid Metro),40.4042126,-3.6088599
224,Rivas Vaciamadrid (Madrid Metro),40.3283709,-3.5205975
225,Rivas Urbanizaciones (Madrid Metro),40.36677150000001,-3.5472758
226,Ventilla (Madrid Metro),40.4694349,-3.6958778
227,Artilleros (Madrid Metro),40.4052242,-3.6418076
229,Batán (Madrid Metro),40.4078602,-3.7531099
231,Las Tablas (Madrid Metro),40.5083299,-3.669439
233,Colonia Jardín (Madrid Metro),40.3969795,-3.7746114
234,Baunatal (Madrid Metro),40.554395,-3.6350471
235,Manuel de Falla (Madrid Metro),40.5504843,-3.6468756
236,Tres Olivos (Madrid Metro),40.5012042,-3.6952016
237,Hospital Infanta Sofía (Madrid Metro),40.55976679999999,-3.6114579
238,Cuatro Vientos (Madrid Metro),40.3777027,-3.791519
240,Lago (Madrid Metro),40.4164141,-3.7356311
241,La Moraleja (Madrid Metro),40.5319526,-3.6355634
242,Montecarmelo (Madrid Metro),40.5052554,-3.6957517
246,Ronda de la Comunicación (Madrid Metro),40.5155389,-3.6627708
247,Marqués de la Valdavia (Madrid Metro),40.5410236,-3.6373849
248,Cuzco (Madrid Metro),40.4584259,-3.6898554
249,La Granja (Madrid Metro),40.52759870000001,-3.6585919
251,Aviación Española (Madrid Metro),40.3836374,-3.7839189
252,Fuencarral (Madrid Metro),40.4946447,-3.6926354
253,Santiago Bernabéu (Madrid Metro),40.4521419,-3.690385500000001
255,Begoña (Madrid Metro),40.48041370000001,-3.6858447
256,Reyes Católicos (Madrid Metro),40.5503789,-3.6233956
259,Puerta del Sur (Madrid Metro),40.3452443,-3.8121102
260,Joaquín Vilumbrales (Madrid Metro),40.3498463,-3.8071962
262,Abrantes (Madrid Metro),40.3808314,-3.7279058
264,Leganés Central (Madrid Metro),40.3289809,-3.771539
265,La Fortuna (Madrid Metro),40.3579576,-3.7778277
267,San Francisco (Madrid Metro),40.3735987,-3.7391002
268,La Peseta (Madrid Metro),40.3642223,-3.7569
272,Pan Bendito (Madrid Metro),40.3758644,-3.7341656
273,Carabanchel Alto (Madrid Metro),40.3719641,-3.751764
277,San Nicasio (Madrid Metro),40.3361594,-3.7758707
